,idecadastro
1,74354
1,73558
1,74027
1,73535
1,141450
1,160640
1,74343
1,160679
1,163321
1,141498
1,74175
1,74010
1,128760
1,74833
1,73481
1,73575
1,160535
1,74158
1,74387
1,74371
1,141463
1,141470
1,167617
1,178853
1,73568
1,74480
1,178920
1,74120
1,74586
1,173802
1,74414
1,74359
1,74527
1,74584
1,160660
1,141404
1,178985
1,179384
1,74474
1,74577
1,74090
1,141513
1,74038
1,81512
1,178961
1,74310
1,73579
1,74211
1,74289
1,178852
1,141552
1,143632
1,74173
1,74747
1,131943
1,160509
1,160608
1,141472
1,152607
1,178940
1,74842
1,141336
1,160596
1,190149
1,178879
1,74696
1,134812
1,160613
1,160581
1,74063
1,160591
1,74345
1,141468
1,160590
1,74288
1,141434
1,195826
1,73658
1,141445
1,121759
1,178936
1,89282
1,160396
1,73645
1,141556
1,73786
1,74402
1,74533
1,178976
1,73435
1,73882
1,163322
1,74528
1,74157
1,74752
1,74124
1,64224
1,73873
1,160611
1,196357
1,73507
1,141454
1,74660
1,160623
1,74394
1,150635
1,74763
1,174314
1,74306
1,74463
1,74466
1,133372
1,74159
1,73492
1,74423
1,131711
1,73565
1,198963
1,122195
1,74452
1,160426
1,73939
1,133658
1,104254
1,178967
1,141437
1,160552
1,129617
1,74005
1,141521
1,178832
1,178831
1,141469
1,178909
1,131966
1,74662
1,141477
1,74461
1,74640
1,74828
1,178869
1,141397
1,74579
1,141489
1,187008
1,74162
1,73603
1,74388
1,131873
1,141393
1,74702
1,73938
1,74549
1,73936
1,74169
1,178893
1,73883
1,160607
1,74167
1,74149
1,74451
1,178854
1,73588
1,141429
1,74165
1,170489
1,178966
1,178883
1,191923
1,160657
1,73663
1,178922
1,141560
1,194592
1,74473
1,141409
1,178962
1,74468
1,154734
1,160563
1,73788
1,178834
1,74273
1,74741
1,160619
1,74791
1,192120
1,76287
1,160550
1,74341
1,177118
1,73716
1,152609
1,74264
1,74580
1,73998
1,74693
1,178979
1,160541
1,74381
1,133377
1,160537
1,74692
1,141407
1,141455
1,73794
1,74444
1,74744
1,74075
1,160663
1,4928
1,73809
1,93472
1,178886
1,74783
1,175737
1,74200
1,178913
1,160586
1,74327
1,178969
1,178868
1,141527
1,74058
1,74786
1,73776
1,74558
1,74793
1,194259
1,160530
1,178986
1,74700
1,73714
1,178958
1,92776
1,141491
1,160643
1,74542
1,73943
1,74146
1,141535
1,74047
1,74026
1,74042
1,73932
1,74439
1,86634
1,178972
1,141474
1,141514
1,160569
1,74587
1,74459
1,178892
1,178949
1,74039
1,160675
1,178971
1,73922
1,74152
1,92699
1,178887
1,73931
1,73564
1,74593
1,114586
1,141497
1,160662
1,178871
1,64960
1,73480
1,159260
1,141548
1,74360
1,73458
1,141402
1,141408
1,154919
1,74366
1,74367
1,74494
1,160365
1,178925
1,67138
1,159238
1,73433
1,74284
1,160659
1,73612
1,178882
1,160584
1,73701
1,160665
1,179383
1,171617
1,141509
1,141471
1,141376
1,73946
1,73653
1,178846
1,74641
1,202063
1,73720
1,178978
1,74493
1,74213
1,178995
1,73569
1,141508
1,141435
1,178955
1,141422
1,73945
1,74267
1,141870
1,74483
1,73555
1,141549
1,73469
1,141563
1,69871
1,175212
1,160528
1,178836
1,74397
1,178856
1,73941
1,74363
1,133375
1,141398
1,178960
1,118384
1,74351
1,75431
1,74448
1,73424
1,160588
1,180545
1,73559
1,74048
1,74358
1,150634
1,3155
1,73540
1,73560
1,73430
1,74477
1,137983
1,178956
1,74271
1,73926
1,178968
1,74160
1,165583
1,178838
1,74384
1,118594
1,178829
1,148295
1,160653
1,74194
1,74318
1,74562
1,160557
1,74016
1,159058
1,74416
1,73421
1,160603
1,74262
1,73434
1,132056
1,74374
1,137853
1,74147
1,123756
1,74797
1,74212
1,71921
1,74777
1,74294
1,160625
1,141431
1,74278
1,161903
1,73462
1,181315
1,74037
1,73704
1,74464
1,74779
1,146308
1,178934
1,73781
1,168253
1,74142
1,159261
1,178837
1,160579
1,160517
1,191684
1,73981
1,74176
1,141546
1,74379
1,74538
1,178914
1,74321
1,74467
1,178902
1,74286
1,74133
1,160677
1,178898
1,73984
1,141432
1,141413
1,160568
1,178912
1,179880
1,198198
1,74295
1,164360
1,178802
1,178945
1,74218
1,149293
1,160513
1,143253
1,178855
1,160667
1,178875
1,141467
1,74553
1,188097
1,73672
1,74309
1,167493
1,73777
1,73441
1,133440
1,160520
1,160629
1,72912
1,141395
1,141400
1,178903
1,74537
1,133370
1,73768
1,74776
1,141542
1,204011
1,178981
1,73486
1,160652
1,178900
1,133373
1,141490
1,141495
1,172711
1,178970
1,74050
1,74304
1,178952
1,74478
1,74841
1,73542
1,141529
1,178911
1,74056
1,74077
1,74552
1,141465
1,73594
1,141486
1,74634
1,160575
1,74435
1,178935
1,73673
1,73442
1,74484
1,160633
1,129037
1,139187
1,160612
1,173269
1,66179
1,74325
1,178888
1,141518
1,74405
1,141517
1,160651
1,160580
1,141510
1,74272
1,132504
1,73718
1,178928
1,74496
1,157225
1,139285
1,160642
1,178957
1,74099
1,178915
1,178924
1,73572
1,74781
1,178993
1,74471
1,74585
1,179001
1,141550
1,74658
1,171782
1,141553
1,160536
1,74057
1,74421
1,178997
1,138512
1,141504
1,166402
1,73923
1,152610
1,141375
1,74447
1,74030
1,74060
1,73428
1,74801
1,178990
1,74675
1,204651
1,160577
1,178845
1,141540
1,160510
1,74189
1,171621
1,74590
1,73937
1,74087
1,160534
1,178982
1,73561
1,73478
1,74810
1,97822
1,73463
1,62881
1,141447
1,4930
1,74858
1,73991
1,74812
1,160546
1,65551
1,73471
1,141476
1,141392
1,179387
1,160516
1,160519
1,195581
1,73683
1,178905
1,73784
1,74209
1,74650
1,134115
1,178918
1,178835
1,74044
1,74521
1,74032
1,160678
1,3151
1,74305
1,133374
1,74300
1,193069
1,73874
1,73557
1,74486
1,74259
1,169868
1,73546
1,160621
1,73885
1,73761
1,74813
1,74051
1,74750
1,141439
1,152865
1,74261
1,74456
1,141412
1,74269
1,4931
1,141371
1,74028
1,160318
1,73692
1,174861
1,73574
1,178844
1,74181
1,74401
1,160668
1,141386
1,73420
1,74313
1,171618
1,178850
1,141425
1,141533
1,74547
1,160634
1,74283
1,74449
1,73654
1,160511
1,160674
1,73682
1,73782
1,77701
1,178987
1,122158
1,141388
1,141522
1,160606
1,74198
1,74238
1,178828
1,160542
1,74255
1,74210
1,178942
1,74398
1,160598
1,74591
1,178866
1,141458
1,91208
1,141536
1,178941
1,159237
1,137578
1,74365
1,74174
1,160545
1,73772
1,156634
1,178865
1,72442
1,74355
1,178821
1,74356
1,74782
1,74535
1,149327
1,178825
1,178861
1,171619
1,178874
1,74431
1,73693
1,160616
1,141427
1,141331
1,74298
1,73586
1,141428
1,74856
1,74275
1,141502
1,160638
1,74072
1,74172
1,74240
1,74568
1,74235
1,74454
1,73994
1,177282
1,141444
1,160548
1,73764
1,74383
1,160543
1,141419
1,74385
1,141539
1,141559
1,160622
1,178947
1,178980
1,73651
1,74035
1,160574
1,74665
1,73801
1,160587
1,74445
1,160615
1,73925
1,73427
1,74065
1,160650
1,178826
1,74481
1,141394
1,73934
1,178989
1,74386
1,141484
1,74829
1,74701
1,74040
1,141430
1,74848
1,164359
1,167707
1,74148
1,73886
1,141478
1,160531
1,178959
1,199809
1,74382
1,74207
1,74357
1,160676
1,74441
1,141459
1,74208
1,74252
1,141391
1,178873
1,74460
1,178904
1,73947
1,136811
1,74290
1,74372
1,141561
1,141410
1,74778
1,74790
1,179385
1,141503
1,74344
1,74254
1,146613
1,4927
1,160561
1,160628
1,73780
1,141515
1,74256
1,141381
1,178897
1,160514
1,193165
1,73466
1,178894
1,73677
1,141426
1,141452
1,178895
1,74102
1,134116
1,178984
1,74554
1,160680
1,160592
1,141483
1,74191
1,73445
1,160647
1,74279
1,160632
1,141551
1,160515
1,193982
1,74654
1,141382
1,141543
1,74759
1,73889
1,74197
1,73875
1,139311
1,154739
1,74043
1,141501
1,73979
1,141405
1,73982
1,178847
1,193066
1,74082
1,194261
1,178974
1,141433
1,178908
1,74281
1,162332
1,141482
1,195997
1,153384
1,160639
1,171623
1,178851
1,178849
1,74000
1,160648
1,178973
1,73987
1,186775
1,73447
1,166401
1,172945
1,141420
1,141442
1,178848
1,194258
1,73892
1,73477
1,74161
1,169553
1,74457
1,143254
1,141406
1,178387
1,178937
1,74495
1,160562
1,114941
1,133439
1,73907
1,178988
1,4929
1,74663
1,171620
1,141461
1,74455
1,141534
1,174854
1,74018
1,160673
1,74076
1,74094
1,160671
1,74800
1,141547
1,74846
1,178996
1,160544
1,116663
1,73674
1,74391
1,146307
1,160664
1,141505
1,159262
1,160604
1,202915
1,74430
1,74433
1,136226
1,178896
1,178950
1,74230
1,73920
1,74426
1,74097
1,178938
1,196359
1,133371
1,178857
1,141528
1,178951
1,160529
1,179381
1,178916
1,162174
1,151208
1,178840
1,165429
1,178862
1,74375
1,178927
1,74389
1,160560
1,73940
1,74753
1,74690
1,160600
1,74034
1,109152
1,141456
1,151965
1,178880
1,99654
1,141487
1,74258
1,141488
1,160518
1,73473
1,181316
1,73942
1,134893
1,74676
1,141496
1,74033
1,141492
1,74557
1,178926
1,160556
1,73461
1,160599
1,74151
1,141415
1,179386
1,179000
1,178991
1,74436
1,141449
1,74263
1,74163
1,136377
1,124411
1,74285
1,178833
1,74369
1,74550
1,73944
1,146829
1,74768
1,74844
1,141500
1,161905
1,74287
1,160644
1,74635
1,141335
1,160614
1,169712
1,73684
1,74680
1,73891
1,74319
1,74291
1,195143
1,141545
1,67312
1,160539
1,159265
1,97707
1,74143
1,151249
1,74177
1,178964
1,74144
1,141464
1,178878
1,194340
1,74141
1,74487
1,141380
1,74377
1,73921
1,74368
1,158328
1,178921
1,74403
1,74023
1,74164
1,73472
1,141512
1,74830
1,92346
1,73827
1,73483
1,137116
1,171622
1,74079
1,74265
1,74062
1,160532
1,74380
1,73552
1,178839
1,141416
1,160656
1,159257
1,160661
1,141389
1,74299
1,178917
1,133853
1,74084
1,73676
1,141401
1,167614
1,74428
1,160666
1,73499
1,73929
1,74392
1,74771
1,141418
1,160533
1,141334
1,160976
1,159263
1,74574
1,141557
1,178999
1,73935
1,160554
1,74427
1,74268
1,141378
1,73457
1,73805
1,141421
1,141466
1,74308
1,74749
1,141479
1,146949
1,74108
1,195278
1,151214
1,74497
1,73474
1,74482
1,160654
1,74346
1,141462
1,73927
1,65987
1,141411
1,141399
1,154997
1,141525
1,141337
1,160658
1,74153
1,62926
1,179382
1,160508
1,74648
1,160620
1,160655
1,166727
1,74297
1,141384
1,195866
1,160564
1,178983
1,73909
1,74570
1,178948
1,68731
1,154178
1,74049
1,133376
1,74266
1,80920
1,141377
1,74470
1,74559
1,160551
1,178884
1,168175
1,73455
1,73490
1,161962
1,178872
1,74469
1,74184
1,74578
1,74792
1,178860
1,76420
1,160553
1,101309
1,178998
1,74045
1,133999
1,73666
1,74655
1,178899
1,74862
1,112437
1,141532
1,178919
1,140241
1,178930
1,73948
1,141555
1,74168
1,141562
1,74154
1,74137
1,194262
1,160558
1,73992
1,74517
1,141554
1,141473
1,178827
1,73901
1,141523
1,74222
1,141538
1,178889
1,74155
1,163831
1,73534
1,74799
1,196378
1,141526
1,74170
1,74119
1,74041
1,141457
1,162490
1,74544
1,141519
1,74491
1,73437
1,74472
1,178943
1,152608
1,178929
1,73893
1,141499
1,178876
1,160593
1,74055
1,141344
1,178977
1,73531
1,141537
1,73652
1,74534
1,73582
1,160669
1,176794
1,73831
1,161907
1,160609
1,160649
1,74337
1,73904
1,74780
1,141460
1,160635
1,160641
1,73459
1,74066
1,74860
1,74280
1,73993
1,141414
1,74111
1,150418
1,178910
1,179379
1,152606
1,141524
1,135476
1,74566
1,141530
1,160601
1,74742
1,154417
1,74352
1,73808
1,178858
1,178891
1,200153
1,74400
1,74277
1,74425
1,178830
1,178953
1,178944
1,74270
1,141520
1,74490
1,93083
1,73599
1,160758
1,74187
1,144523
1,115899
1,141373
1,160582
1,81232
1,74762
1,74847
1,148134
1,155920
1,74059
1,141372
1,178907
1,74017
1,73928
1,168034
1,74276
1,74260
1,178963
1,74253
1,141383
1,81366
1,160626
1,74329
1,160636
1,189593
1,74053
1,73577
1,73655
1,160527
1,73592
1,160555
1,173262
1,160617
1,146788
1,74150
1,73595
1,74106
1,74140
1,74651
1,169711
1,139133
1,74563
1,141374
1,160540
1,141507
1,141387
1,141494
1,160618
1,73825
1,178931
1,141423
1,74131
1,74052
1,178946
1,172029
1,94931
1,178859
1,73485
1,147653
1,74370
1,74396
1,73566
1,74408
1,74756
1,74758
1,193726
1,74216
1,74434
1,160645
1,160572
1,160567
1,178901
1,74657
1,160589
1,74156
1,160585
1,73416
1,65511
1,74328
1,74802
1,74061
1,74492
1,113247
1,74417
1,178994
1,73933
1,74376
1,160597
1,74395
1,160512
1,160637
1,74317
1,74399
1,160672
1,88950
1,160549
1,178923
1,73930
1,74838
1,141436
1,178881
1,73778
1,74806
1,141481
1,160646
1,178870
1,74054
1,74195
1,109372
1,141441
1,160594
1,139212
1,160602
1,74751
1,141451
1,74139
1,141448
1,185500
1,160578
1,178992
1,160605
1,167722
1,178885
1,164361
1,73660
1,74754
1,152611
1,66828
1,137070
1,178841
1,74419
1,141541
1,73924
1,160595
1,73775
1,74567
1,191945
1,74488
1,178842
1,74745
1,74835
1,160610
1,160559
1,141403
1,160565
1,74029
1,160670
1,178939
1,178954
1,160627
1,73765
1,159259
1,160571
1,74373
1,141493
1,141057
1,73556
1,141440
1,141453
1,73793
1,74036
1,178932
1,141446
1,178843
1,178933
1,196358
1,141558
1,147975
1,160630
1,74485
1,73817
1,179380
1,92355
1,150876
1,73454
1,74312
1,141390
1,74349
1,74378
1,141511
1,74489
1,178965
1,74085
1,74765
1,165675
1,137759
1,73548
1,74031
1,160566
1,160317
1,141485
1,73431
1,74024
1,152605
1,178877
1,73482
1,74390
1,170673
1,73584
1,141438
1,74571
1,73696
1,74274
1,141417
1,141443
1,73553
1,74479
1,74683
1,160547
1,160576
1,141424
1,194260
1,74863
1,122466
1,74257
1,73464
1,74637
1,141480
1,141506
1,178863
1,141475
1,178867
1,160573
1,74556
1,74688
1,74705
1,178906
1,161904
1,162175
1,160538
1,74671
1,141396
1,74686
1,141516
1,74171
1,74282
1,74070
1,74699
1,105112
1,168447
1,159258
1,161906
1,73460
1,74592
1,160974
1,74581
1,74342
1,129618
1,74080
1,74145
1,141385
1,178975
1,74784
1,73456
1,74787
1,154996
1,74393
1,178890
1,74225
1,141379
1,74103
1,178864
1,160570
1,159264
1,74843
1,176120
1,74520
1,160631
1,73545
1,74166
1,74324
1,145895
1,74046
1,73536
1,141531
1,160624
1,74095
